timestamp,id_equipo,t_ambiente_C,t_interior_C,delta_t_cond_C,eta_compresor,cop,temp_descarga_C,trabajo_kW,calor_extraido_kW,calidad_evap,estado
2025-12-19 07:06:33,CAMARA_03_VERDURAS,8.9,3.8,17.9,0.739,7.99,34.8,1.641,13.103,0.162,NORMAL
2025-12-19 08:06:33,CAMARA_01_CARNES,11.7,-18.4,15.0,0.742,3.42,45.1,5.285,18.098,0.287,NORMAL
2025-12-19 08:06:33,CAMARA_02_LACTEOS,11.7,4.5,15.0,0.742,8.07,34.5,1.626,13.116,0.162,NORMAL
2025-12-19 08:06:33,CAMARA_03_VERDURAS,11.7,4.2,15.0,0.726,7.89,35.0,1.662,13.116,0.162,NORMAL
2025-12-19 09:06:33,CAMARA_01_CARNES,10.5,-17.5,15.0,0.762,3.64,42.5,5.027,18.303,0.279,NORMAL
2025-12-19 09:06:33,CAMARA_02_LACTEOS,10.5,3.8,15.0,0.769,8.88,32.3,1.492,13.253,0.153,NORMAL
2025-12-19 09:06:33,CAMARA_03_VERDURAS,10.5,3.8,15.0,0.761,8.79,32.5,1.507,13.253,0.153,NORMAL
2025-12-19 10:06:33,CAMARA_01_CARNES,14.7,-18.5,15.0,0.768,3.26,47.3,5.398,17.58,0.308,NORMAL
2025-12-19 10:06:33,CAMARA_02_LACTEOS,14.7,4.2,15.0,0.75,7.08,38.1,1.803,12.77,0.184,NORMAL
2025-12-19 10:06:33,CAMARA_03_VERDURAS,14.7,4.2,15.0,0.726,6.85,38.9,1.863,12.77,0.184,NORMAL
2025-12-19 11:06:33,CAMARA_01_CARNES,12.5,-18.5,16.5,0.756,3.27,47.1,5.414,17.703,0.303,NORMAL
2025-12-19 11:06:33,CAMARA_02_LACTEOS,12.5,4.4,15.0,0.753,7.87,35.3,1.655,13.024,0.167,NORMAL
2025-12-19 11:06:33,CAMARA_03_VERDURAS,12.5,4.3,15.0,0.752,7.86,35.3,1.658,13.024,0.167,NORMAL
2025-12-19 12:06:33,CAMARA_01_CARNES,13.9,-17.7,15.0,0.727,3.15,48.8,5.619,17.718,0.302,NORMAL
2025-12-19 12:06:33,CAMARA_02_LACTEOS,13.9,4.1,15.0,0.765,7.49,36.7,1.717,12.863,0.178,NORMAL
2025-12-19 12:06:33,CAMARA_03_VERDURAS,13.9,4.3,15.0,0.724,7.08,37.9,1.816,12.863,0.178,NORMAL
2025-12-19 13:06:33,CAMARA_01_CARNES,14.5,-18.0,15.0,0.737,3.14,48.9,5.604,17.615,0.306,NORMAL
2025-12-19 13:06:33,CAMARA_02_LACTEOS,14.5,4.1,15.0,0.762,7.26,37.5,1.762,12.794,0.182,NORMAL
2025-12-19 13:06:33,CAMARA_03_VERDURAS,14.5,3.8,15.0,0.745,7.1,38.0,1.802,12.794,0.182,NORMAL
