timestamp,id_equipo,t_ambiente_C,t_interior_C,delta_t_cond_C,eta_compresor,cop,temp_descarga_C,trabajo_kW,calor_extraido_kW,calidad_evap,estado
2025-12-19 11:39:45,CAMARA_01_CARNES,11.3,-17.9,15.0,0.748,3.49,44.3,5.203,18.166,0.284,NORMAL
2025-12-19 11:39:45,CAMARA_02_LACTEOS,11.3,4.0,15.0,0.741,8.22,34.1,1.602,13.161,0.159,NORMAL
2025-12-19 11:39:45,CAMARA_03_VERDURAS,11.3,3.9,15.0,0.747,8.28,33.9,1.589,13.161,0.159,NORMAL
2025-12-19 12:39:45,CAMARA_01_CARNES,9.7,-18.3,15.0,0.732,3.58,43.2,5.145,18.44,0.274,NORMAL
2025-12-19 12:39:45,CAMARA_02_LACTEOS,9.7,4.3,16.5,0.726,8.12,34.3,1.624,13.178,0.158,NORMAL
2025-12-19 12:39:45,CAMARA_03_VERDURAS,9.7,3.9,15.0,0.752,9.06,31.7,1.473,13.344,0.147,NORMAL
2025-12-19 13:39:45,CAMARA_01_CARNES,14.4,-17.8,15.0,0.721,3.08,49.8,5.718,17.632,0.305,NORMAL
2025-12-19 13:39:45,CAMARA_02_LACTEOS,14.4,3.8,15.0,0.766,7.33,37.3,1.747,12.805,0.181,NORMAL
2025-12-19 13:39:45,CAMARA_03_VERDURAS,14.4,4.2,15.0,0.721,6.9,38.6,1.857,12.805,0.181,NORMAL
2025-12-19 14:39:45,CAMARA_01_CARNES,11.7,-18.1,20.6,0.769,3.04,50.3,5.635,17.135,0.325,ADVERTENCIA
2025-12-19 14:39:45,CAMARA_02_LACTEOS,11.7,4.3,15.0,0.741,8.06,34.6,1.628,13.116,0.162,NORMAL
2025-12-19 14:39:45,CAMARA_03_VERDURAS,11.7,4.3,15.0,0.728,7.91,34.9,1.657,13.116,0.162,NORMAL
2025-12-19 15:39:45,CAMARA_01_CARNES,13.6,-17.7,15.0,0.738,3.23,47.7,5.506,17.77,0.3,NORMAL
2025-12-19 15:39:45,CAMARA_02_LACTEOS,13.6,3.7,17.1,0.721,6.51,40.3,1.945,12.651,0.191,NORMAL
2025-12-19 15:39:45,CAMARA_03_VERDURAS,13.6,4.4,15.0,0.763,7.57,36.4,1.704,12.897,0.175,NORMAL
2025-12-19 16:39:45,CAMARA_01_CARNES,12.9,-17.7,15.0,0.727,3.25,47.5,5.513,17.891,0.295,NORMAL
2025-12-19 16:39:45,CAMARA_02_LACTEOS,12.9,3.8,15.0,0.756,7.76,35.7,1.673,12.978,0.17,NORMAL
2025-12-19 16:39:45,CAMARA_03_VERDURAS,12.9,4.4,15.0,0.743,7.62,36.0,1.702,12.978,0.17,NORMAL
2025-12-19 17:39:45,CAMARA_01_CARNES,13.9,-18.2,15.0,0.744,3.23,47.7,5.49,17.718,0.302,NORMAL
2025-12-19 17:39:45,CAMARA_02_LACTEOS,13.9,3.8,15.0,0.752,7.36,37.1,1.748,12.863,0.178,NORMAL
